Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.14     0.00  3592911     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<int> >::__construct_helper<int<int const&> >::value, void>::type std::allocator_traits<std::allocator<int> >::_S_construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      1.14     0.00  3592408     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<int const&>)({parm#3}))) std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      1.14     0.00  3575504     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      1.14     0.00  3000033     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.14     0.00  3000023     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      1.14     0.00  3000022     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      1.14     0.00  3000020     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      1.14     0.00  3000014     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      1.14     0.00  1000010     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      1.14     0.00  1000009     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      1.14     0.00  1000008     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      1.14     0.00  1000008     0.00     0.00  std::allocator<int>::allocator()
  0.00      1.14     0.00  1000007     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      1.14     0.00  1000007     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      1.14     0.00  1000006     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      1.14     0.00  1000006     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      1.14     0.00  1000004     0.00     0.00  std::allocator<int>::~allocator()
  0.00      1.14     0.00  1000001     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.00      1.14     0.00   437826     0.00     0.00  std::iterator<std::random_access_iterator_tag, bool, long, bool*, bool&>::iterator()
  0.00      1.14     0.00   288629     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      1.14     0.00   247445     0.00     0.00  void std::swap<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*&, std::vector<int, std::allocator<int> >*&)
  0.00      1.14     0.00      263     0.00     0.00  Worker*&& std::forward<Worker*>(std::remove_reference<Worker*>::type&)
  0.00      1.14     0.00      198     0.00     0.00  int const& std::max<int>(int const&, int const&)
  0.00      1.14     0.00      196     0.00     0.00  int const& std::min<int>(int const&, int const&)
  0.00      1.14     0.00      132     0.00     0.00  BFSResult::Update(int)
  0.00      1.14     0.00      129     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      1.14     0.00      115     0.00     0.00  __gnu_cxx::__normal_iterator<Worker**, std::vector<Worker*, std::allocator<Worker*> > >::base() const
  0.00      1.14     0.00       78     0.00     0.00  BFSResult::BFSResult()
  0.00      1.14     0.00       67     0.00     0.00  std::_Bit_iterator_base::operator==(std::_Bit_iterator_base const&) const
  0.00      1.14     0.00       67     0.00     0.00  std::_Bit_iterator_base::operator!=(std::_Bit_iterator_base const&) const
  0.00      1.14     0.00       65     0.00     0.00  std::_Bit_iterator::operator++()
  0.00      1.14     0.00       65     0.00     0.00  std::_Bit_iterator_base::_M_bump_up()
  0.00      1.14     0.00       64     0.00     0.00  Worker::Worker(int, int)
  0.00      1.14     0.00       64     0.00     0.00  void __gnu_cxx::new_allocator<Worker*>::construct<Worker*, Worker*>(Worker**, Worker*&&)
  0.00      1.14     0.00       64     0.00     0.00  _ZNSt16allocator_traitsISaIP6WorkerEE12_S_constructIS1_IS1_EEENSt9enable_ifIXsrNS3_18__construct_helperIT_IDpT0_EEE5valueEvE4typeERS2_PS7_DpOS8_
  0.00      1.14     0.00       64     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<Worker*>)({parm#3}))) std::allocator_traits<std::allocator<Worker*> >::construct<Worker*, Worker*>(std::allocator<Worker*>&, Worker**, Worker*&&)
  0.00      1.14     0.00       64     0.00     0.00  void std::vector<Worker*, std::allocator<Worker*> >::emplace_back<Worker*>(Worker*&&)
  0.00      1.14     0.00       64     0.00     0.00  std::vector<Worker*, std::allocator<Worker*> >::push_back(Worker*&&)
  0.00      1.14     0.00       64     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      1.14     0.00       64     0.00     0.00  std::remove_reference<Worker*&>::type&& std::move<Worker*&>(Worker*&)
  0.00      1.14     0.00       58     0.00     0.00  bool __gnu_cxx::operator!=<Worker**, std::vector<Worker*, std::allocator<Worker*> > >(__gnu_cxx::__normal_iterator<Worker**, std::vector<Worker*, std::allocator<Worker*> > > const&, __gnu_cxx::__normal_iterator<Worker**, std::vector<Worker*, std::allocator<Worker*> > > const&)
  0.00      1.14     0.00       54     0.00     0.00  __gnu_cxx::__normal_iterator<Worker**, std::vector<Worker*, std::allocator<Worker*> > >::operator*() const
  0.00      1.14     0.00       51     0.00     0.00  __gnu_cxx::__normal_iterator<Worker**, std::vector<Worker*, std::allocator<Worker*> > >::operator++()
  0.00      1.14     0.00       41     0.00     0.00  BFSResult::Update(BFSResult)
  0.00      1.14     0.00       39     0.00     0.00  Worker::JoinAndUpdateResult(BFSResult&)
  0.00      1.14     0.00       35     0.00     0.00  std::vector<Worker*, std::allocator<Worker*> >::size() const
  0.00      1.14     0.00       21     0.00     0.00  Worker::Work()
  0.00      1.14     0.00       21     0.00     0.00  __gnu_cxx::new_allocator<Worker*>::max_size() const
  0.00      1.14     0.00       21     0.00     0.00  std::_Iter_base<Worker**, false>::_S_base(Worker**)
  0.00      1.14     0.00       21     0.00     0.00  std::_Niter_base<Worker**>::iterator_type std::__niter_base<Worker**>(Worker**)
  0.00      1.14     0.00       17     0.00     0.00  std::_Bit_const_iterator::_Bit_const_iterator(std::_Bit_iterator const&)
  0.00      1.14     0.00       15     0.00     0.00  std::_Vector_base<Worker*, std::allocator<Worker*> >::_M_get_Tp_allocator()
  0.00      1.14     0.00       14     0.00     0.00  std::_Vector_base<Worker*, std::allocator<Worker*> >::_M_get_Tp_allocator() const
  0.00      1.14     0.00       14     0.00     0.00  std::move_iterator<Worker**>::base() const
  0.00      1.14     0.00       14     0.00     0.00  std::vector<Worker*, std::allocator<Worker*> >::max_size() const
  0.00      1.14     0.00       14     0.00     0.00  std::_Iter_base<std::move_iterator<Worker**>, true>::_S_base(std::move_iterator<Worker**>)
  0.00      1.14     0.00       14     0.00     0.00  std::move_iterator<Worker**>::move_iterator(Worker**)
  0.00      1.14     0.00       14     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<Worker*> >::__maxsize_helper<std::allocator<Worker*> const>::value, unsigned long>::type std::allocator_traits<std::allocator<Worker*> >::_S_max_size<std::allocator<Worker*> const>(std::allocator<Worker*> const&)
  0.00      1.14     0.00       14     0.00     0.00  std::allocator_traits<std::allocator<Worker*> >::max_size(std::allocator<Worker*> const&)
  0.00      1.14     0.00       14     0.00     0.00  std::_Miter_base<std::move_iterator<Worker**> >::iterator_type std::__miter_base<std::move_iterator<Worker**> >(std::move_iterator<Worker**>)
  0.00      1.14     0.00       14     0.00     0.00  std::move_iterator<Worker**> std::__make_move_if_noexcept_iterator<Worker**, std::move_iterator<Worker**> >(Worker**)
  0.00      1.14     0.00       13     0.00     0.00  std::vector<char, std::allocator<char> >::vector(unsigned long, char const&, std::allocator<char> const&)
  0.00      1.14     0.00       12     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_base(unsigned long, std::allocator<char> const&)
  0.00      1.14     0.00       11     0.00    59.53  Worker::BFSThread()
  0.00      1.14     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<char>::allocate(unsigned long, void const*)
  0.00      1.14     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<char>::max_size() const
  0.00      1.14     0.00       10     0.00     0.00  std::operator-(std::_Bit_iterator_base const&, std::_Bit_iterator_base const&)
  0.00      1.14     0.00        9     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_create_storage(unsigned long)
  0.00      1.14     0.00        8     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin() const
  0.00      1.14     0.00        8     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Worker**>(Worker**, Worker**)
  0.00      1.14     0.00        8     0.00     0.00  std::_Vector_base<Worker*, std::allocator<Worker*> >::_M_deallocate(Worker**, unsigned long)
  0.00      1.14     0.00        8     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator()
  0.00      1.14     0.00        8     0.00     0.00  void std::_Destroy<Worker**>(Worker**, Worker**)
  0.00      1.14     0.00        8     0.00     0.00  void std::_Destroy<Worker**, Worker*>(Worker**, Worker**, std::allocator<Worker*>&)
  0.00      1.14     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<Worker*>::deallocate(Worker**, unsigned long)
  0.00      1.14     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<Worker*>::allocate(unsigned long, void const*)
  0.00      1.14     0.00        7     0.00     0.00  std::vector<Worker*, std::allocator<Worker*> >::_M_check_len(unsigned long, char const*) const
  0.00      1.14     0.00        7     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  0.00      1.14     0.00        7     0.00     0.00  std::vector<bool, std::allocator<bool> >::end() const
  0.00      1.14     0.00        7     0.00     0.00  std::vector<bool, std::allocator<bool> >::size() const
  0.00      1.14     0.00        7     0.00     0.00  std::_Iter_base<unsigned long*, false>::_S_base(unsigned long*)
  0.00      1.14     0.00        7     0.00     0.00  Worker** std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<Worker*>(Worker* const*, Worker* const*, Worker**)
  0.00      1.14     0.00        7     0.00     0.00  std::_Vector_base<Worker*, std::allocator<Worker*> >::_M_allocate(unsigned long)
  0.00      1.14     0.00        7     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_allocate(unsigned long)
  0.00      1.14     0.00        7     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl(std::allocator<char> const&)
  0.00      1.14     0.00        7     0.00     0.00  Worker** std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<Worker**>, Worker**>(std::move_iterator<Worker**>, std::move_iterator<Worker**>, Worker**)
  0.00      1.14     0.00        7     0.00     0.00  void std::__uninitialized_fill_n<true>::__uninit_fill_n<char*, unsigned long, char>(char*, unsigned long, char const&)
  0.00      1.14     0.00        7     0.00     0.00  void std::vector<Worker*, std::allocator<Worker*> >::_M_emplace_back_aux<Worker*>(Worker*&&)
  0.00      1.14     0.00        7     0.00     0.00  __gnu_cxx::__enable_if<std::__is_byte<char>::__value, char*>::__type std::__fill_n_a<unsigned long, char>(char*, unsigned long, char const&)
  0.00      1.14     0.00        7     0.00     0.00  Worker** std::__copy_move_a<true, Worker**, Worker**>(Worker**, Worker**, Worker**)
  0.00      1.14     0.00        7     0.00     0.00  Worker** std::__copy_move_a2<true, Worker**, Worker**>(Worker**, Worker**, Worker**)
  0.00      1.14     0.00        7     0.00     0.00  Worker** std::uninitialized_copy<std::move_iterator<Worker**>, Worker**>(std::move_iterator<Worker**>, std::move_iterator<Worker**>, Worker**)
  0.00      1.14     0.00        7     0.00     0.00  Worker** std::__uninitialized_copy_a<std::move_iterator<Worker**>, Worker**, Worker*>(std::move_iterator<Worker**>, std::move_iterator<Worker**>, Worker**, std::allocator<Worker*>&)
  0.00      1.14     0.00        7     0.00     0.00  Worker** std::__uninitialized_move_if_noexcept_a<Worker**, Worker**, std::allocator<Worker*> >(Worker**, Worker**, Worker**, std::allocator<Worker*>&)
  0.00      1.14     0.00        7     0.00     0.00  Worker** std::copy<std::move_iterator<Worker**>, Worker**>(std::move_iterator<Worker**>, std::move_iterator<Worker**>, Worker**)
  0.00      1.14     0.00        6     0.00     0.00  std::_Iter_base<char*, false>::_S_base(char*)
  0.00      1.14     0.00        6     0.00     0.00  std::_Iter_base<std::_Bit_iterator, false>::_S_base(std::_Bit_iterator)
  0.00      1.14     0.00        6     0.00     0.00  std::_Bit_iterator::_Bit_iterator()
  0.00      1.14     0.00        6     0.00     0.00  std::_Niter_base<char*>::iterator_type std::__niter_base<char*>(char*)
  0.00      1.14     0.00        6     0.00     0.00  void std::uninitialized_fill_n<char*, unsigned long, char>(char*, unsigned long, char const&)
  0.00      1.14     0.00        6     0.00     0.00  void std::__uninitialized_fill_n_a<char*, unsigned long, char, char>(char*, unsigned long, char const&, std::allocator<char>&)
  0.00      1.14     0.00        6     0.00     0.00  char* std::fill_n<char*, unsigned long, char>(char*, unsigned long, char const&)
  0.00      1.14     0.00        6     0.00     0.00  __gnu_cxx::__enable_if<std::__is_byte<char>::__value, void>::__type std::__fill_a<char>(char*, char*, char const&)
  0.00      1.14     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::~new_allocator()
  0.00      1.14     0.00        5     0.00     0.00  std::vector<char, std::allocator<char> >::_M_fill_initialize(unsigned long, char const&)
  0.00      1.14     0.00        5     0.00     0.00  std::_Niter_base<unsigned long*>::iterator_type std::__niter_base<unsigned long*>(unsigned long*)
  0.00      1.14     0.00        4     0.00     0.00  std::_Iter_base<std::_Bit_const_iterator, false>::_S_base(std::_Bit_const_iterator)
  0.00      1.14     0.00        4     0.00     0.00  std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator()
  0.00      1.14     0.00        4     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::~_Bvector_impl()
  0.00      1.14     0.00        4     0.00     0.00  std::vector<bool, std::allocator<bool> >::~vector()
